구별,소계,최근증가율,인구수,한국인,외국인,고령자,CCTV비율,오차
강남구,3238,150.61919504643964,561052,556164,4888,65060,0.5771301055873609,1549.20032600635
강동구,1010,166.49076517150397,440359,436223,4136,56161,0.22935831900790038,-544.6423220628242
강북구,831,125.20325203252031,328002,324479,3523,56530,0.2533521137066237,-598.750923299915
강서구,911,134.7938144329897,608255,601691,6564,76032,0.149772710458607,-830.2685784304504
관악구,2109,149.29078014184398,520929,503297,17632,70046,0.4048536364840506,464.79939497903706
광진구,878,53.22862129144852,372298,357703,14595,43953,0.2358325857243391,-600.9885266499673
구로구,1884,64.97373029772329,441559,410742,30817,58794,0.4266700486231738,328.0238075195293
금천구,1348,100.0,253491,235154,18337,34170,0.5317743036241918,1.0724256077908194
노원구,1566,188.929889298893,558075,554403,3672,74243,0.2806074452358554,-119.49056379920557
도봉구,825,246.6386554621849,346234,344166,2068,53488,0.23827815870191837,-625.0168611786887
동대문구,1870,74.76635514018692,366011,350647,15364,55718,0.510913606421665,397.9998427798182
동작구,1302,139.33823529411765,408493,396217,12276,57255,0.3187325119402291,-217.22139312222544
마포구,980,212.1019108280255,385783,374915,10868,49615,0.2540288193103377,-513.9778954682683
서대문구,1254,48.5781990521327,325028,312800,12228,49266,0.385812914579667,-172.44514778151506
서초구,2297,63.37126600284495,445401,441102,4299,53205,0.515715052278733,736.7531990656985
성동구,1327,81.78082191780823,312711,304808,7903,41273,0.42435347653264516,-85.75407950305657
성북구,1651,63.62735381565907,455407,444055,11352,66251,0.36253285522620426,79.63094289989067
송파구,1081,104.34782608695652,671173,664496,6677,76582,0.16106130610140754,-730.2056275450113
양천구,2482,34.67173087357569,475018,471154,3864,55234,0.5225065155425689,888.8321655995051
영등포구,1277,157.97979797979798,402024,368550,33474,53981,0.3176427277973454,-235.03072001243027
용산구,2096,53.216374269005854,244444,229161,15283,36882,0.8574561044656445,759.1286969981629
은평구,2108,85.23725834797891,491202,486794,4408,74559,0.4291513471036356,496.8426999001813
종로구,1619,248.92241379310346,164257,154770,9487,26182,0.9856505354414119,371.26125298133616
중구,1023,147.6997578692494,134593,125709,8884,21384,0.7600692458003017,-191.765470294446
중랑구,916,79.96070726915521,412780,408226,4554,59262,0.22190997625853967,-607.9866451892669
